==> 使用设备: cuda
==> 创建学生、教师和鉴别器模型...
==> 数据准备完毕: Labeled=21599, Unlabeled=7999
Error loading image ../meanteacher_original/data/images/r93dLeVRk3U.003.4.jpg: [Errno 2] No such file or directory: '/public/lighting/fananqi/mean-teacher/meanteacher_original/data/images/r93dLeVRk3U.003.4.jpg'
Error loading image ../meanteacher_original/data/images/r93dLeVRk3U.003.2.jpg: [Errno 2] No such file or directory: '/public/lighting/fananqi/mean-teacher/meanteacher_original/data/images/r93dLeVRk3U.003.2.jpg'
Error loading image ../meanteacher_original/data/images/aLvpOYqzErk.000.3.jpg: [Errno 2] No such file or directory: '/public/lighting/fananqi/mean-teacher/meanteacher_original/data/images/aLvpOYqzErk.000.3.jpg'
Step [680/1349] Total: 0.153 | Sup: 0.013 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [700/1349] Total: 0.159 | Sup: 0.020 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [720/1349] Total: 0.156 | Sup: 0.016 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [740/1349] Total: 0.151 | Sup: 0.012 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [760/1349] Total: 0.160 | Sup: 0.021 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [780/1349] Total: 0.156 | Sup: 0.017 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [800/1349] Total: 0.157 | Sup: 0.018 | Cons: 0.001 | Style: 0.139 | Ortho: 0.000
Step [820/1349] Total: 0.158 | Sup: 0.019 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [840/1349] Total: 0.157 | Sup: 0.017 | Cons: 0.001 | Style: 0.139 | Ortho: 0.000
Step [860/1349] Total: 0.148 | Sup: 0.008 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [880/1349] Total: 0.155 | Sup: 0.016 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [900/1349] Total: 0.155 | Sup: 0.016 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [920/1349] Total: 0.153 | Sup: 0.014 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [940/1349] Total: 0.147 | Sup: 0.008 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [960/1349] Total: 0.156 | Sup: 0.017 | Cons: 0.001 | Style: 0.139 | Ortho: 0.000
Step [980/1349] Total: 0.157 | Sup: 0.018 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1000/1349] Total: 0.150 | Sup: 0.011 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1020/1349] Total: 0.155 | Sup: 0.016 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1040/1349] Total: 0.151 | Sup: 0.012 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1060/1349] Total: 0.153 | Sup: 0.014 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1080/1349] Total: 0.152 | Sup: 0.013 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1100/1349] Total: 0.154 | Sup: 0.015 | Cons: 0.001 | Style: 0.139 | Ortho: 0.000
Step [1120/1349] Total: 0.161 | Sup: 0.021 | Cons: 0.001 | Style: 0.139 | Ortho: 0.000
Step [1140/1349] Total: 0.159 | Sup: 0.020 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1160/1349] Total: 0.157 | Sup: 0.018 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1180/1349] Total: 0.152 | Sup: 0.013 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1200/1349] Total: 0.154 | Sup: 0.015 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1220/1349] Total: 0.153 | Sup: 0.014 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1240/1349] Total: 0.155 | Sup: 0.016 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1260/1349] Total: 0.152 | Sup: 0.013 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
Step [1280/1349] Total: 0.155 | Sup: 0.016 | Cons: 0.000 | Style: 0.139 | Ortho: 0.000
